Et,k1st defect_crop_-40C,k1st defect_crop_-5C,k1st defect_crop_30C,ksingle defect_crop_65C,ksingle defect_crop_100C,TauMinor1st defect_crop_-40C,TauMinor1st defect_crop_-5C,TauMinor1st defect_crop_30C,TauMinorsingle defect_crop_65C,TauMinorsingle defect_crop_100C,StdDev
-4.289999999999999369e-01,nan,nan,1.407217138024616588e+03,1.546451642748559152e+02,1.084270432815540488e+02,nan,nan,1.878599362281754891e-04,1.920877335008872727e-04,2.278728410358358397e-04,nan
-4.259999999999999343e-01,nan,nan,1.252562367932993084e+03,1.393531954527741163e+02,9.866728024791746066e+01,nan,nan,1.878463384062284717e-04,1.919751573490352948e-04,2.277001688329397672e-04,nan
-4.229999999999999871e-01,nan,nan,1.114694034512027883e+03,1.255578797123436914e+02,8.977721672549286325e+01,nan,nan,1.878310377808375790e-04,1.918502264988902826e-04,2.275105120413653851e-04,nan
-4.199999999999999845e-01,nan,nan,9.917901153570228416e+02,1.131127368669454825e+02,8.167935316462812523e+01,nan,nan,1.878138145440718938e-04,1.917115679520698768e-04,2.273021900467622628e-04,nan
-4.169999999999999818e-01,nan,nan,8.822263528247207205e+02,1.018856230149263382e+02,7.430309605634290904e+01,nan,nan,1.877944187773812601e-04,1.915576521739384387e-04,2.270733538876420631e-04,nan
-4.139999999999999791e-01,nan,nan,7.845547883801742728e+02,9.175732742105036266e+01,6.758414253007096306e+01,nan,nan,1.877725658680851951e-04,1.913867743353677038e-04,2.268219689695747862e-04,nan
-4.109999999999999765e-01,nan,nan,6.974846268545287558e+02,8.262030672374267226e+01,6.146391979034224562e+01,nan,nan,1.877479311081305287e-04,1.911970330978358793e-04,2.265457959177989873e-04,nan
-4.079999999999999738e-01,nan,nan,6.198651777219541827e+02,7.437754302779423199e+01,5.588907450566455992e+01,nan,nan,1.877201432985035683e-04,1.909863065731781976e-04,2.262423693501687018e-04,nan
-4.049999999999999711e-01,nan,nan,5.506706479533407901e+02,6.694151375763311762e+01,5.081100769833089714e+01,nan,nan,1.876887771367780620e-04,1.907522250237844697e-04,2.259089743233302743e-04,nan
-4.019999999999999685e-01,nan,nan,4.889865854740756959e+02,6.023326233294708487e+01,4.618545108053008619e+01,nan,nan,1.876533441053796891e-04,1.904921397897556495e-04,2.255426201714670674e-04,nan
-3.989999999999999658e-01,nan,nan,4.339977940671606120e+02,5.418155979899121633e+01,4.197208114345232133e+01,nan,nan,1.876132814993574825e-04,1.902030878331488842e-04,2.251400114180507795e-04,nan
-3.959999999999999631e-01,nan,nan,3.849775600089708973e+02,4.872214850967632316e+01,3.813416763519133212e+01,nan,nan,1.875679391279215893e-04,1.898817511717141389e-04,2.246975153957966181e-04,nan
-3.929999999999999605e-01,nan,nan,3.412780480604767490e+02,4.379705983278485348e+01,3.463825336303509772e+01,nan,nan,1.875165630840580438e-04,1.895244103300328608e-04,2.242111261572357118e-04,nan
-3.900000000000000133e-01,nan,nan,3.023217398904685638e+02,3.935399863262913556e+01,3.145386252880409117e+01,nan,nan,1.874582757873397899e-04,1.891268907577135392e-04,2.236764241965295374e-04,nan
-3.870000000000000107e-01,nan,nan,2.675938017838471978e+02,3.534578799452270204e+01,2.855323505463762501e+01,nan,nan,1.873920512466188302e-04,1.886845009432618590e-04,2.230885314305789617e-04,nan
-3.840000000000000080e-01,nan,nan,2.366352807691183102e+02,3.172986829508903384e+01,2.591108458320112362e+01,nan,nan,1.873166841323152315e-04,1.881919606766550217e-04,2.224420608019380243e-04,nan
-3.810000000000000053e-01,nan,nan,2.090370392473500374e+02,2.846784529947801801e+01,2.350437804266883290e+01,nan,nan,1.872307507489827643e-04,1.876433175681130609e-04,2.217310597648672582e-04,nan
-3.780000000000000027e-01,nan,nan,1.844343479646601622e+02,2.552508248713876071e+01,2.131213485482946624e+01,nan,nan,1.871325592920865309e-04,1.870318494947793896e-04,2.209489467957385976e-04,nan
-3.750000000000000000e-01,nan,nan,1.625020658707423991e+02,2.287033327741762534e+01,1.931524403590249506e+01,nan,nan,1.870200857578708652e-04,1.863499500940269044e-04,2.200884399258756059e-04,nan
-3.719999999999999973e-01,1.056807801985210071e-02,nan,1.429503431620245522e+02,2.047540924991301736e+01,1.749629759563235254e+01,3.074651805447553101e-06,nan,1.868908903948779670e-04,1.855889937158431585e-04,2.191414761236924009e-04,nan
-3.689999999999999947e-01,1.030312488096446766e-01,nan,1.255207907223001769e+02,1.831488083671319345e+01,1.583943878230896196e+01,2.696601013185743562e-05,nan,1.867420073905894920e-04,1.847391753385915541e-04,2.180991201473847713e-04,nan
-3.659999999999999920e-01,1.826616556344735354e-01,nan,1.099830653374265097e+02,1.636580730843476061e+01,1.433022385078414729e+01,4.400255806120479448e-05,nan,1.865697971717403031e-04,1.837893197762907724e-04,2.169514612414981240e-04,nan
-3.629999999999999893e-01,2.512403301156160285e-01,nan,9.613182555540673491e+01,1.460749318702373323e+01,1.295549614843944042e+01,5.664070187199004533e-05,nan,1.863697455893851846e-04,1.827266529707321976e-04,2.156874957505044738e-04,nan
-3.599999999999999867e-01,3.103011183385956939e-01,nan,8.378401796151298697e+01,1.302126849888286486e+01,1.170327142144388333e+01,6.629342960642120792e-05,nan,1.861361862140755395e-04,1.815365261427079248e-04,2.142949933574709513e-04,nan
-3.569999999999999840e-01,3.611649872003170891e-01,nan,7.277645800475758620e+01,1.159029053502975515e+01,1.056263334145410937e+01,7.383143813194845118e-05,nan,1.858619089763418426e-04,1.802020808977808993e-04,2.127603442100068677e-04,nan
-3.539999999999999813e-01,4.049695694523324230e-01,nan,6.296367340470884244e+01,1.029936501335187415e+01,9.523638342004918655e+00,7.982069209155343763e-05,nan,1.855375968296065652e-04,1.787038397951870854e-04,2.110683836485076218e-04,nan
-3.509999999999999787e-01,4.426946082512909775e-01,nan,5.421598163783129820e+01,9.134784744040441495e+00,8.577228934997988219e+00,8.464510899254869692e-05,nan,1.851509952112375041e-04,1.770192020388018064e-04,2.092021905770507974e-04,nan
-3.479999999999999760e-01,4.751838703151349264e-01,nan,4.641777609604473298e+01,8.084184085134801023e+00,7.715154751620515228e+00,8.857434525868710089e-05,nan,1.846856536572860110e-04,1.751218173231350675e-04,2.071428546812633200e-04,nan
-3.449999999999999734e-01,5.031640177996290486e-01,nan,3.946599826793556787e+01,7.136407642769885484e+00,6.929900619364536496e+00,9.180335716899640697e-05,nan,1.841189581977638789e-04,1.729808017122053717e-04,2.048692066560631045e-04,nan
-3.419999999999999707e-01,5.272608609878673969e-01,nan,3.326877575147391042e+01,6.281391821971667788e+00,6.214621048154647553e+00,9.447656103689082191e-05,nan,1.834189397799951141e-04,1.705597466256140407e-04,2.023575043018344371e-04,nan
