Et,k2nd defect_Sinton_300,k2nd defect_Sinton_350,k2nd defect_Sinton_400,TauMinor2nd defect_Sinton_300,TauMinor2nd defect_Sinton_350,TauMinor2nd defect_Sinton_400,StdDev
-1.619999999999999774e-01,nan,nan,nan,nan,nan,nan,nan
-1.559999999999999720e-01,nan,nan,nan,nan,nan,nan,nan
-1.499999999999999667e-01,nan,nan,nan,nan,nan,nan,nan
-1.439999999999999614e-01,nan,nan,nan,nan,nan,nan,nan
-1.379999999999999560e-01,nan,nan,nan,nan,nan,nan,nan
-1.319999999999999507e-01,nan,nan,nan,nan,nan,nan,nan
-1.259999999999999454e-01,nan,nan,nan,nan,nan,nan,nan
-1.199999999999999956e-01,nan,nan,nan,nan,nan,nan,nan
-1.139999999999999902e-01,nan,nan,nan,nan,nan,nan,nan
-1.079999999999999849e-01,nan,nan,nan,nan,nan,nan,nan
-1.019999999999999796e-01,nan,nan,nan,nan,nan,nan,nan
-9.599999999999997424e-02,nan,nan,nan,nan,nan,nan,nan
-8.999999999999996891e-02,nan,nan,nan,nan,nan,nan,nan
-8.399999999999996358e-02,nan,nan,nan,nan,nan,nan,nan
-7.799999999999995826e-02,nan,nan,nan,nan,nan,nan,nan
-7.199999999999995293e-02,nan,nan,nan,nan,nan,nan,nan
-6.599999999999994760e-02,nan,nan,nan,nan,nan,nan,nan
-5.999999999999994227e-02,nan,nan,nan,nan,nan,nan,nan
-5.399999999999993694e-02,nan,nan,nan,nan,nan,nan,nan
-4.799999999999993161e-02,nan,nan,nan,nan,nan,nan,nan
-4.199999999999992628e-02,nan,nan,nan,nan,nan,nan,nan
-3.599999999999992095e-02,nan,nan,nan,nan,nan,nan,nan
-2.999999999999991562e-02,nan,nan,nan,nan,nan,nan,nan
-2.399999999999991029e-02,nan,nan,nan,nan,nan,nan,nan
-1.800000000000001599e-02,nan,nan,nan,nan,nan,nan,nan
-1.200000000000001066e-02,nan,nan,nan,nan,nan,nan,nan
-6.000000000000005329e-03,nan,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan
6.000000000000005329e-03,nan,nan,nan,nan,nan,nan,nan
1.200000000000001066e-02,nan,nan,nan,nan,nan,nan,nan
1.800000000000001599e-02,nan,nan,nan,nan,nan,nan,nan
2.400000000000002132e-02,nan,nan,nan,nan,nan,nan,nan
3.000000000000002665e-02,nan,nan,nan,nan,nan,nan,nan
3.600000000000003197e-02,nan,nan,nan,nan,nan,nan,nan
4.200000000000003730e-02,nan,nan,nan,nan,nan,nan,nan
4.800000000000004263e-02,nan,nan,nan,nan,nan,nan,nan
5.400000000000004796e-02,nan,nan,nan,nan,nan,nan,nan
6.000000000000005329e-02,nan,nan,nan,nan,nan,nan,nan
6.600000000000005862e-02,nan,nan,nan,nan,nan,nan,nan
7.200000000000006395e-02,nan,nan,nan,nan,nan,nan,nan
7.800000000000006928e-02,nan,nan,nan,nan,nan,nan,nan
8.400000000000007461e-02,nan,nan,nan,nan,nan,nan,nan
9.000000000000007994e-02,nan,nan,nan,nan,nan,nan,nan
9.600000000000008527e-02,nan,nan,nan,nan,nan,nan,nan
1.020000000000000906e-01,nan,nan,nan,nan,nan,nan,nan
1.079999999999999849e-01,nan,nan,nan,nan,nan,nan,nan
1.139999999999999902e-01,nan,nan,nan,nan,nan,nan,nan
1.199999999999999956e-01,nan,nan,nan,nan,nan,nan,nan
1.260000000000000009e-01,nan,nan,nan,nan,nan,nan,nan
1.320000000000000062e-01,nan,nan,nan,nan,nan,nan,nan
1.380000000000000115e-01,nan,nan,nan,nan,nan,nan,nan
1.440000000000000169e-01,nan,nan,nan,nan,nan,nan,nan
1.500000000000000222e-01,nan,nan,nan,nan,nan,nan,nan
1.560000000000000275e-01,nan,nan,nan,nan,nan,nan,nan
1.620000000000000329e-01,nan,nan,nan,nan,nan,nan,nan
1.680000000000000382e-01,nan,nan,nan,nan,nan,nan,nan
1.740000000000000435e-01,nan,nan,nan,nan,nan,nan,nan
1.800000000000000488e-01,nan,nan,nan,nan,nan,nan,nan
1.860000000000000542e-01,nan,nan,nan,nan,nan,nan,nan
1.920000000000000595e-01,nan,nan,nan,nan,nan,nan,nan
1.980000000000000648e-01,nan,nan,nan,nan,nan,nan,nan
2.040000000000000702e-01,nan,nan,nan,nan,nan,nan,nan
2.100000000000000755e-01,nan,nan,nan,nan,nan,nan,nan
2.160000000000000808e-01,nan,nan,nan,nan,nan,nan,nan
2.220000000000000862e-01,nan,nan,nan,nan,nan,nan,nan
2.280000000000000915e-01,nan,nan,nan,nan,nan,nan,nan
2.339999999999999858e-01,nan,nan,nan,nan,nan,nan,nan
2.399999999999999911e-01,nan,nan,nan,nan,nan,nan,nan
2.459999999999999964e-01,nan,nan,nan,nan,nan,nan,nan
2.520000000000000018e-01,nan,nan,nan,nan,nan,nan,nan
2.580000000000000071e-01,nan,nan,nan,nan,nan,nan,nan
2.640000000000000124e-01,nan,nan,nan,nan,nan,nan,nan
2.700000000000000178e-01,nan,nan,nan,nan,nan,nan,nan
2.760000000000000231e-01,nan,nan,nan,nan,nan,nan,nan
2.820000000000000284e-01,nan,nan,nan,nan,nan,nan,nan
2.880000000000000338e-01,nan,nan,nan,nan,nan,nan,nan
2.940000000000000391e-01,nan,nan,nan,nan,nan,nan,nan
3.000000000000000444e-01,nan,nan,nan,nan,nan,nan,nan
3.060000000000000497e-01,nan,nan,nan,nan,nan,nan,nan
3.120000000000000551e-01,nan,nan,nan,nan,nan,nan,nan
3.180000000000000604e-01,nan,nan,nan,nan,nan,nan,nan
3.240000000000000657e-01,nan,nan,nan,nan,nan,nan,nan
3.300000000000000711e-01,nan,nan,nan,nan,nan,nan,nan
3.360000000000000764e-01,nan,nan,nan,nan,nan,nan,nan
3.420000000000000817e-01,nan,nan,nan,nan,nan,nan,nan
3.480000000000000870e-01,nan,nan,nan,nan,nan,nan,nan
3.540000000000000924e-01,nan,nan,nan,nan,nan,nan,nan
3.599999999999999867e-01,nan,nan,nan,nan,nan,nan,nan
3.659999999999999920e-01,nan,nan,nan,nan,nan,nan,nan
3.719999999999999973e-01,nan,nan,nan,nan,nan,nan,nan
3.780000000000000027e-01,nan,nan,2.093868227046683472e+01,nan,nan,4.480039894158167514e-08,nan
3.840000000000000080e-01,nan,9.527501356088697193e+00,3.446398304960990533e+00,nan,9.025285151160542164e-08,2.275079101784692787e-07,nan
3.900000000000000133e-01,6.731429204765901453e+00,2.389582908424419561e+00,1.728171064838667226e+00,1.203214176566956573e-07,2.901553983491041868e-07,3.795580408710214258e-07,2.219151161609068001e+00
3.960000000000000187e-01,1.544164999400149618e+00,1.248417447154441362e+00,1.084614024224061390e+00,3.837499927226277915e-07,4.492313263452573517e-07,5.062938705407313533e-07,1.901710559844976833e-01
4.020000000000000240e-01,7.830803076494908810e-01,7.888045885193680773e-01,7.515355620530983494e-01,5.653599156023790056e-07,5.765357911642506251e-07,6.120682754727628007e-07,1.638705010387396521e-02
4.080000000000000293e-01,4.828957856592514530e-01,5.443078129608779347e-01,5.503804640306722007e-01,6.951072046610813732e-07,6.788756460128553495e-07,7.004446628031535845e-07,3.048222797924006466e-02
4.140000000000000346e-01,3.255157602701085895e-01,3.949464796929903487e-01,4.174132807243247645e-01,7.901810861112688629e-07,7.614456869809121695e-07,7.743521258369673648e-07,3.911597601122075718e-02
4.200000000000000400e-01,2.306908929328166935e-01,2.958836365913924404e-01,3.241977704608443589e-01,8.611487025575221234e-07,8.282603444083752405e-07,8.362066997280127328e-07,3.915116026030331098e-02
4.260000000000000453e-01,1.687069921484684043e-01,2.265513623936858678e-01,2.561253514066199055e-01,9.148572731411122300e-07,8.824541464890412703e-07,8.880070556587550789e-07,3.630512900800379056e-02
4.320000000000000506e-01,1.260061974579074207e-01,1.761814762143167346e-01,2.049174666391017086e-01,9.559295108943267475e-07,9.264955992938578198e-07,9.314106769851871617e-07,3.260931044240725218e-02
4.380000000000000560e-01,9.551523562236605147e-02,1.385870699073191437e-01,1.655300267557638094e-01,9.875891904452249133e-07,9.623424831126877089e-07,9.677949600609889186e-07,2.883511903884822258e-02
4.440000000000000613e-01,7.318091873139959125e-02,1.099591084976928035e-01,1.347133322821544299e-01,1.012143300607779984e-06,9.915565990864680522e-07,9.983065493282654736e-07,2.527986628620974840e-02
4.500000000000000666e-01,5.651410817670190351e-02,8.782418336708264217e-02,1.102790778549511963e-01,1.031277183280430910e-06,1.015389864468210086e-06,1.023901402972731638e-06,2.204846948427655745e-02
4.560000000000000719e-01,4.390319882518945588e-02,7.050706227192744813e-02,9.069999017790900120e-02,1.046242550759042969e-06,1.034849781690154271e-06,1.045377493976253719e-06,1.916437542426287569e-02
4.620000000000000773e-01,3.426084275577172267e-02,5.683399412010831792e-02,7.487832635523954117e-02,1.057981434022499381e-06,1.050749805231229290e-06,1.063401615821706545e-06,1.661634089377108867e-02
4.680000000000000826e-01,2.682912634340139241e-02,4.595958468010088310e-02,6.200555120673301862e-02,1.067210343686758073e-06,1.063748480974873696e-06,1.078531437461512606e-06,1.437910654043880222e-02
4.740000000000000879e-01,2.106588929611254851e-02,3.726100584236589908e-02,5.147383235545402447e-02,1.074478890467637276e-06,1.074380123862052151e-06,1.091233707420907200e-06,1.242278032280492474e-02
4.800000000000000933e-01,1.657518926365899453e-02,3.027076901965346234e-02,4.281828310161069767e-02,1.080211520733467340e-06,1.083079040410023285e-06,1.101899320393789490e-06,1.071711501746030679e-02
4.860000000000000986e-01,1.306303274405170266e-02,2.463253972366073741e-02,3.567813840927491764e-02,1.084737792556644267e-06,1.090198773828746198e-06,1.110855816088901242e-06,9.233404008899636847e-03
4.920000000000001039e-01,1.030820718974062578e-02,2.007123058913145783e-02,2.976997008289896177e-02,1.088314690585468275e-06,1.096027475068722113e-06,1.118377768458893430e-06,7.945245878123409142e-03
